exercise,difficulty_level,target_muscle_group,primary_equipment,single_or_double_arm,continuous_or_alternating,grip,primary_exercise_classification
Kettlebell Horn Grip Alternating Forward Lunge,Novice,Quadriceps,Kettlebell,Double Arm,Continuous,Horn Grip,Bodybuilding
Tire Leg Press,Intermediate,Quadriceps,Tire,No Arms,Continuous,No Grip,Bodybuilding
Cable Split Squat Isometric Pallof Press,Intermediate,Abdominals,Cable,Double Arm,Continuous,Neutral,Balance
Bodyweight Split Squat Isometric Calf Raise,Intermediate,Calves,Bodyweight,No Arms,Continuous,No Grip,Balance
Bodyweight Split Squat Isometric Foot Elevated Calf Raise,Intermediate,Calves,Bodyweight,No Arms,Continuous,No Grip,Balance
Double Dumbbell Suitcase Split Squat Isometric Calf Raise,Advanced,Calves,Dumbbell,Double Arm,Continuous,Neutral,Balance
Double Dumbbell Suitcase Split Squat Isometric Foot Elevated Calf Raise,Advanced,Calves,Dumbbell,Double Arm,Continuous,Neutral,Balance
Kettlebell Horn Grip Alternating Reverse Lunge,Novice,Quadriceps,Kettlebell,Double Arm,Continuous,Horn Grip,Bodybuilding
Kettlebell Horn Grip Walking Lunge,Novice,Quadriceps,Kettlebell,Double Arm,Continuous,Horn Grip,Bodybuilding
Barbell Back Rack  Split Squat Isometric Calf Raise,Advanced,Calves,Barbell,Double Arm,Continuous,Pronated,Balance
Barbell Back Rack Split Squat Isometric Foot Elevated Calf Raise,Advanced,Calves,Barbell,Double Arm,Continuous,Pronated,Balance
Barbell Front Rack Split Squat Isometric Calf Raise,Advanced,Calves,Barbell,Double Arm,Continuous,Pronated,Balance
Barbell Front Rack Split Squat Isometric Foot Elevated Calf Raise,Advanced,Calves,Barbell,Double Arm,Continuous,Pronated,Balance
Single Arm Dumbbell Suitcase Hand Assisted Ipsilateral Foot Elevated Single Leg Calf Raise,Novice,Calves,Dumbbell,Single Arm,Continuous,Hand Assisted,Bodybuilding
Double Kettlebell Straddle L Sit,Advanced,Abdominals,Kettlebell,Double Arm,Continuous,Neutral,Calisthenics
Double Dumbbell Front Rack Split Squat Isometric Calf Raise,Advanced,Calves,Dumbbell,Double Arm,Continuous,Neutral,Balance
Double Dumbbell Front Rack Split Squat Isometric Foot Elevated Calf Raise,Advanced,Calves,Dumbbell,Double Arm,Continuous,Neutral,Balance
Single Arm Kettlebell Front Rack Low Switch Cossack Squat,Intermediate,Quadriceps,Kettlebell,Single Arm,Continuous,Neutral,Bodybuilding
Single Arm Kettlebell Front Rack Foot Elevated Contralateral Cossack Squat,Intermediate,Quadriceps,Kettlebell,Single Arm,Continuous,Neutral,Bodybuilding
Bodyweight Jump Squat,Intermediate,Quadriceps,Bodyweight,No Arms,Continuous,No Grip,Plyometric
Double Dumbbell Suitcase Alternating Step Up,Novice,Quadriceps,Dumbbell,Double Arm,Continuous,Neutral,Bodybuilding
Double Dumbbell Front Rack Step Up,Novice,Quadriceps,Dumbbell,Double Arm,Continuous,Neutral,Bodybuilding
Cable V Grip Seated Low Row,Beginner,Back,Cable,Double Arm,Continuous,Neutral,Bodybuilding
Resistance Band Half Kneeling Face Pull,Beginner,Shoulders,Resistance Band,Double Arm,Continuous,Pronated,Unsorted*
Bodyweight Prone Cobra,Beginner,Back,Bodyweight,Double Arm,Continuous,No Grip,Postural
Barbell Hang Power Snatch,Advanced,Glutes,Barbell,Double Arm,Continuous,Pronated,Olympic Weightlifting 
Barbell Hang Squat Snatch,Advanced,Quadriceps,Barbell,Double Arm,Continuous,Pronated,Olympic Weightlifting 
Double Dumbbell Seated Reverse Fly,Beginner,Shoulders,Dumbbell,Double Arm,Continuous,Neutral,Bodybuilding
Single Arm Dumbbell Seated Concentration Curl,Beginner,Biceps,Dumbbell,Single Arm,Continuous,Supinated,Bodybuilding
Alternating Double Dumbbell Seated Bicep Curl,Beginner,Biceps,Dumbbell,Double Arm,Alternating,Supinated,Bodybuilding
Alternating Double Dumbbell Front Raise,Beginner,Shoulders,Dumbbell,Double Arm,Alternating,Pronated,Bodybuilding
Cable Wide Grip Lat Pulldown,Beginner,Back,Cable,Double Arm,Continuous,Pronated,Bodybuilding
Cable Reverse Grip Lat Pulldown,Beginner,Back,Cable,Double Arm,Continuous,Supinated,Bodybuilding
Cable V Grip Lat Pulldown,Beginner,Back,Cable,Double Arm,Continuous,Neutral,Bodybuilding
Bodyweight Bicycle Crunch,Novice,Abdominals,Bodyweight,No Arms,Alternating,Head Supported,Unsorted*
Bodyweight Broad Jump,Intermediate,Quadriceps,Bodyweight,No Arms,Continuous,No Grip,Plyometric
Bodyweight Forearm Plank,Novice,Abdominals,Bodyweight,Double Arm,Continuous,Forearm,Calisthenics
Parallette Plank,Novice,Abdominals,Parallette Bars,Double Arm,Continuous,Neutral,Calisthenics
Double Clubbell Shoulder Park Squat,Novice,Quadriceps,Clubbell,Double Arm,Continuous,Neutral,Unsorted*
Double Clubbell Clean to Shoulder Park Squat,Intermediate,Quadriceps,Clubbell,Double Arm,Continuous,Neutral,Unsorted*
Clubbell Shoulder Park Squat,Novice,Quadriceps,Clubbell,Double Arm,Continuous,Neutral,Unsorted*
Single Arm Clubbell Shoulder Park Squat,Novice,Quadriceps,Clubbell,Single Arm,Continuous,Neutral,Unsorted*
Clubbell Swing to Alternating Shoulder Park Squat,Intermediate,Quadriceps,Clubbell,Double Arm,Continuous,Neutral,Unsorted*
Single Arm Dumbbell Bench Press,Beginner,Chest,Dumbbell,Single Arm,Continuous,Pronated,Bodybuilding
Double Dumbbell Bench Press,Beginner,Chest,Dumbbell,Double Arm,Continuous,Pronated,Bodybuilding
Barbell Split Jerk,Advanced,Shoulders,Barbell,Double Arm,Continuous,Pronated,Olympic Weightlifting 
Barbell Power Clean to Split Jerk,Expert,Shoulders,Barbell,Double Arm,Continuous,Pronated,Olympic Weightlifting 
Double Dumbbell Incline Bench Press,Beginner,Chest,Dumbbell,Double Arm,Continuous,Pronated,Bodybuilding
Barbell Power Jerk,Intermediate,Shoulders,Barbell,Double Arm,Continuous,Pronated,Olympic Weightlifting 
Barbell Squat Jerk,Advanced,Quadriceps,Barbell,Double Arm,Continuous,Pronated,Olympic Weightlifting 
Double Kettlebell Bent Over Row,Beginner,Back,Kettlebell,Double Arm,Continuous,Neutral,Bodybuilding
Bodyweight Seated Wall Angels,Beginner,Shoulders,Bodyweight,Double Arm,Continuous,No Grip,Unsorted*
Parallette Kneeling Close Grip Push Up,Beginner,Triceps,Parallette Bars,Double Arm,Continuous,Pronated,Calisthenics
Double Kettlebell Shrug,Beginner,Trapezius ,Kettlebell,Double Arm,Continuous,Neutral,Bodybuilding
Bodyweight Alternating Split Squat Jump,Intermediate,Quadriceps,Bodyweight,No Arms,Continuous,No Grip,Plyometric
Suspension Y Raise,Beginner,Shoulders,Suspension Trainer,Double Arm,Continuous,Pronated,Unsorted*
Bodyweight Standing Wall Angels,Beginner,Shoulders,Bodyweight,Double Arm,Continuous,No Grip,Unsorted*
Double Kettlebell Mountain Climber,Novice,Abdominals,Kettlebell,Double Arm,Continuous,Neutral,Calisthenics
Bodyweight Split Squat Jump,Intermediate,Quadriceps,Bodyweight,No Arms,Continuous,No Grip,Plyometric
Bodyweight Duck Walk,Intermediate,Quadriceps,Bodyweight,No Arms,Continuous,No Grip,Animal Flow
Barbell Front Rack Split Squat,Novice,Quadriceps,Barbell,Double Arm,Continuous,Pronated,Bodybuilding
Barbell Overhead Split Squat,Advanced,Quadriceps,Barbell,Double Arm,Continuous,Pronated,Bodybuilding
Double Dumbbell Split Jerk,Intermediate,Shoulders,Dumbbell,Double Arm,Continuous,Neutral,Unsorted*
Suspension Reverse Fly,Beginner,Shoulders,Suspension Trainer,Double Arm,Continuous,Neutral,Unsorted*
Double Dumbbell Decline Bench Press,Beginner,Chest,Dumbbell,Double Arm,Continuous,Pronated,Bodybuilding
Single Arm Dumbbell Split Jerk,Intermediate,Shoulders,Dumbbell,Single Arm,Continuous,Neutral,Unsorted*
Single Arm Kettlebell Bottoms Up Snatch,Advanced,Glutes,Kettlebell,Single Arm,Continuous,Bottoms Up,Ballistics
Bodyweight Copenhagen Plank Side Raise,Intermediate,Adductors,Bodyweight,Single Arm,Continuous,Forearm,Unsorted*
Bodyweight Copenhagen Plank with Leg Lift,Intermediate,Adductors,Bodyweight,Single Arm,Continuous,Forearm,Unsorted*
Double Dumbbell Chest Fly,Beginner,Chest,Dumbbell,Double Arm,Continuous,Neutral,Bodybuilding
Double Dumbbell Decline Bench Chest Fly,Beginner,Chest,Dumbbell,Double Arm,Continuous,Neutral,Bodybuilding
Double Kettlebell Suitcase Calf Raise,Beginner,Calves,Kettlebell,Double Arm,Continuous,Neutral,Bodybuilding
Double Kettlebell Front Rack Feet Elevated Calf Raise,Novice,Calves,Kettlebell,Double Arm,Continuous,Neutral,Bodybuilding
Dumbbell Crush Grip Bent Over Row,Beginner,Back,Dumbbell,Double Arm,Continuous,Crush Grip,Bodybuilding
Double Kettlebell Front Rack Calf Raise,Beginner,Calves,Kettlebell,Double Arm,Continuous,Neutral,Bodybuilding
Dumbbell Crush Grip Bicep Curl to Overhead Press,Beginner,Shoulders,Dumbbell,Double Arm,Continuous,Crush Grip,Bodybuilding
Dumbbell Crush Grip Overhead Press,Beginner,Shoulders,Dumbbell,Double Arm,Continuous,Crush Grip,Bodybuilding
Dumbbell Crush Grip Floor Press,Beginner,Chest,Dumbbell,Double Arm,Continuous,Crush Grip,Bodybuilding
Dumbbell Crush Grip Overhead Tricep Extension,Beginner,Triceps,Dumbbell,Double Arm,Continuous,Crush Grip,Bodybuilding
Double Kettlebell Suitcase Split Squat Isometric Calf Raise,Advanced,Calves,Kettlebell,Double Arm,Continuous,Neutral,Balance
Bodyweight Single Leg Hip Thrust,Novice,Glutes,Bodyweight,No Arms,Continuous,No Grip,Bodybuilding
Stability Ball Single Leg Hip Thrust,Novice,Glutes,Stability Ball,No Arms,Continuous,No Grip,Bodybuilding
Double Kettlebell Suitcase Split Squat Isometric Foot Elevated Calf Raise,Advanced,Calves,Kettlebell,Double Arm,Continuous,Neutral,Balance
Single Arm Kettlebell Suitcase Hand Assisted Ipsilateral Foot Elevated Single Leg Calf Raise,Novice,Calves,Kettlebell,Single Arm,Continuous,Hand Assisted,Bodybuilding
Double Kettlebell Front Rack Split Squat Isometric Calf Raise,Advanced,Calves,Kettlebell,Double Arm,Continuous,Neutral,Balance
Cable V Grip Seated Floor Lat Pulldown,Beginner,Back,Cable,Double Arm,Continuous,Neutral,Bodybuilding
Double Kettlebell Front Rack Split Squat Isometric Foot Elevated Calf Raise,Advanced,Calves,Kettlebell,Double Arm,Continuous,Neutral,Balance
Battle Rope Alternating Wave,Beginner,Biceps,Battle Ropes,Double Arm,Alternating,Neutral,Unsorted*
Cable Rope Tall Kneeling Tricep Pushdown,Beginner,Triceps,Cable,Double Arm,Continuous,Neutral,Bodybuilding
Bodyweight Feet Elevated Calf Raise,Beginner,Calves,Bodyweight,No Arms,Continuous,No Grip,Bodybuilding
Stability Ball Reverse Hyperextension,Novice,Glutes,Stability Ball,Double Arm,Continuous,Flat Palm,Bodybuilding
Bodyweight Frog Reverse Hyperextension,Novice,Glutes,Bodyweight,Double Arm,Continuous,Neutral,Bodybuilding
Bodyweight Reverse Hyperextension,Novice,Glutes,Bodyweight,Double Arm,Continuous,Neutral,Bodybuilding
Cable Rope Tall Kneeling Low to High Chop,Intermediate,Abdominals,Cable,Double Arm,Continuous,Pronated,Unsorted*
Bodyweight V Up,Novice,Abdominals,Bodyweight,Double Arm,Continuous,No Grip,Unsorted*
Slider Barbell Front Rack Reverse Lunge,Intermediate,Quadriceps,Sliders,Double Arm,Continuous,Pronated,Bodybuilding
Slider Barbell Back Rack Reverse Lunge,Intermediate,Quadriceps,Sliders,Double Arm,Continuous,Pronated,Bodybuilding
Slider Reverse Lunge,Beginner,Quadriceps,Sliders,No Arms,Continuous,No Grip,Bodybuilding
Barbell Push Jerk,Intermediate,Shoulders,Barbell,Double Arm,Continuous,Pronated,Olympic Weightlifting 
Barbell Power Clean to Push Jerk,Expert,Shoulders,Barbell,Double Arm,Continuous,Pronated,Olympic Weightlifting 
Barbell Squat Clean to Push Jerk,Expert,Shoulders,Barbell,Double Arm,Continuous,Pronated,Olympic Weightlifting 
Single Arm Kettlebell Outside Swing,Novice,Glutes,Kettlebell,Single Arm,Continuous,Neutral,Ballistics
Single Arm Kettlebell Suitcase Alternating Forward Lunge Pass Through,Intermediate,Quadriceps,Kettlebell,Single Arm,Alternating,Neutral,Bodybuilding
Single Arm Kettlebell Suitcase Alternating Reverse Lunge Pass Through,Intermediate,Quadriceps,Kettlebell,Single Arm,Alternating,Neutral,Bodybuilding
Single Arm Kettlebell Contralateral Forward Lunge Snatch,Advanced,Quadriceps,Kettlebell,Single Arm,Continuous,Pronated,Ballistics
Single Arm Kettlebell Alternating Forward Lunge Snatch,Advanced,Quadriceps,Kettlebell,Single Arm,Continuous,Pronated,Ballistics
Double Kettlebell Overhead Press,Beginner,Shoulders,Kettlebell,Double Arm,Continuous,Pronated,Bodybuilding
Cable Straight Bar Bicep Curl,Beginner,Biceps,Cable,Double Arm,Continuous,Supinated,Bodybuilding
Double Kettlebell Glute Bridge Isometric Floor Press,Novice,Chest,Kettlebell,Double Arm,Continuous,Pronated,Bodybuilding
Slider Single Arm Dumbbell Front Rack Ipsilateral Reverse Lunge,Novice,Quadriceps,Sliders,Single Arm,Continuous,Neutral,Bodybuilding
Slider Single Arm Dumbbell Suitcase Contralateral Reverse Lunge,Novice,Quadriceps,Sliders,Single Arm,Continuous,Neutral,Bodybuilding
Slider Single Arm Dumbbell Suitcase Ipsilateral Reverse Lunge,Novice,Quadriceps,Sliders,Single Arm,Continuous,Neutral,Bodybuilding
Slider Single Arm Dumbbell Overhead Contralateral Reverse Lunge,Intermediate,Quadriceps,Sliders,Single Arm,Continuous,Neutral,Bodybuilding
Slider Single Arm Dumbbell Overhead Ipsilateral Reverse Lunge,Intermediate,Quadriceps,Sliders,Single Arm,Continuous,Neutral,Bodybuilding
Slider Double Dumbbell Front Rack Reverse Lunge,Novice,Quadriceps,Sliders,Double Arm,Continuous,Neutral,Bodybuilding
Slider Double Dumbbell Suitcase Reverse Lunge,Novice,Quadriceps,Sliders,Double Arm,Continuous,Neutral,Bodybuilding
Slider Double Dumbbell Overhead Reverse Lunge,Intermediate,Quadriceps,Sliders,Double Arm,Continuous,Neutral,Bodybuilding
Double Dumbbell Hammer Curl,Beginner,Biceps,Dumbbell,Double Arm,Continuous,Neutral,Bodybuilding
Alternating Double Dumbbell Bench Press,Beginner,Chest,Dumbbell,Double Arm,Alternating,Pronated,Bodybuilding
Slider Single Arm Clubbell Order Contralateral Reverse Lunge,Novice,Quadriceps,Sliders,Single Arm,Continuous,Neutral,Bodybuilding
Slider Single Arm Clubbell Order Ipsilateral Reverse Lunge,Novice,Quadriceps,Sliders,Single Arm,Continuous,Neutral,Bodybuilding
Slider Double Clubbell Order Reverse Lunge,Novice,Quadriceps,Sliders,Double Arm,Continuous,Neutral,Bodybuilding
Slider Clubbell Order Reverse Lunge,Novice,Quadriceps,Sliders,Double Arm,Continuous,Neutral,Bodybuilding
Slider Macebell Order Reverse Lunge,Novice,Quadriceps,Sliders,Double Arm,Continuous,Neutral,Bodybuilding
Slider Single Arm Macebell Order Contralateral Reverse Lunge,Novice,Quadriceps,Sliders,Single Arm,Continuous,Neutral,Bodybuilding
Slider Single Arm Macebell Order Ipsilateral Reverse Lunge,Novice,Quadriceps,Sliders,Single Arm,Continuous,Neutral,Bodybuilding
Slider Landmine Goblet Reverse Lunge,Novice,Quadriceps,Sliders,Double Arm,Continuous,Goblet,Bodybuilding
Slider Landmine Shoulder Contralateral Reverse Lunge,Intermediate,Quadriceps,Sliders,Single Arm,Continuous,Neutral,Bodybuilding
Slider Single Arm Landmine Front Rack Contralateral Reverse Lunge,Novice,Quadriceps,Sliders,Single Arm,Continuous,Neutral,Bodybuilding
Slider Single Arm Landmine Front Rack Ipsilateral Reverse Lunge,Novice,Quadriceps,Sliders,Single Arm,Continuous,Neutral,Bodybuilding
Slider Single Arm Landmine Suitcase Contralateral Reverse Lunge,Novice,Quadriceps,Sliders,Single Arm,Continuous,Neutral,Bodybuilding
Slider Single Arm Landmine Suitcase Ipsilateral Reverse Lunge,Novice,Quadriceps,Sliders,Single Arm,Continuous,Neutral,Bodybuilding
Slider Single Arm Landmine Overhead Contralateral Reverse Lunge,Intermediate,Quadriceps,Sliders,Single Arm,Continuous,Neutral,Bodybuilding
Slider Single Arm Landmine Overhead Ipsilateral Reverse Lunge,Intermediate,Quadriceps,Sliders,Single Arm,Continuous,Neutral,Bodybuilding
Suspension Jump Squat,Intermediate,Quadriceps,Suspension Trainer,Double Arm,Continuous,Neutral,Plyometric
Alternating Double Dumbbell Incline Bench Press,Beginner,Chest,Dumbbell,Double Arm,Alternating,Pronated,Bodybuilding
Alternating Double Dumbbell Decline Bench Press,Beginner,Chest,Dumbbell,Double Arm,Alternating,Pronated,Bodybuilding
Miniband Glute Bridge,Beginner,Glutes,Miniband,No Arms,Continuous,No Grip,Bodybuilding
Alternating Double Dumbbell Top Down Bench Press,Beginner,Chest,Dumbbell,Double Arm,Alternating,Pronated,Bodybuilding
Alternating Double Dumbbell Top Down Incline Bench Press,Beginner,Chest,Dumbbell,Double Arm,Alternating,Pronated,Bodybuilding
Alternating Double Dumbbell Top Down Decline Bench Press,Beginner,Chest,Dumbbell,Double Arm,Alternating,Pronated,Bodybuilding
Bar Dead Hang,Beginner,Back,Pull Up Bar,Double Arm,Continuous,Pronated,Unsorted*
Trap Bar Deadlift,Novice,Back,Trap Bar,Double Arm,Continuous,Neutral,Bodybuilding
Trap Bar Staggered Stance Deadlift,Novice,Back,Trap Bar,Double Arm,Continuous,Neutral,Bodybuilding
Resistance Band Alternating Bicep Curl,Beginner,Biceps,Resistance Band,Double Arm,Alternating,Supinated,Bodybuilding
Landmine Goblet Alternating Curtsy Lunge,Intermediate,Quadriceps,Landmine,Double Arm,Continuous,Goblet,Bodybuilding
Landmine Goblet Curtsy Lunge,Intermediate,Quadriceps,Landmine,Double Arm,Continuous,Goblet,Bodybuilding
Barbell Overhead Alternating Curtsy Lunge,Advanced,Quadriceps,Barbell,Double Arm,Continuous,Pronated,Bodybuilding
Barbell Back Rack Alternating Curtsy Lunge,Intermediate,Quadriceps,Barbell,Double Arm,Continuous,Pronated,Bodybuilding
Barbell Zercher Alternating Curtsy Lunge,Advanced,Quadriceps,Barbell,Double Arm,Continuous,No Grip,Bodybuilding
Trap Bar Suitcase Carry,Intermediate,Forearms,Trap Bar,Double Arm,Continuous,Neutral,Unsorted*
Trap Bar Romanian Deadlift,Novice,Hamstrings,Trap Bar,Double Arm,Continuous,Neutral,Bodybuilding
Resistance Band Bicep Curl,Beginner,Biceps,Resistance Band,Double Arm,Continuous,Supinated,Bodybuilding
Resistance Band Chest Press,Beginner,Chest,Resistance Band,Double Arm,Continuous,Pronated,Unsorted*
Resistance Band Alternating Chest Press,Beginner,Chest,Resistance Band,Double Arm,Alternating,Pronated,Unsorted*
Trap Bar Deficit Deadlift,Intermediate,Back,Trap Bar,Double Arm,Continuous,Neutral,Bodybuilding
Trap Bar Bulgarian Split Squat,Intermediate,Quadriceps,Trap Bar,Double Arm,Continuous,Neutral,Bodybuilding
Trap Bar Jump Squat,Advanced,Quadriceps,Trap Bar,Double Arm,Continuous,Neutral,Plyometric
Resistance Band Chest Fly,Beginner,Chest,Resistance Band,Double Arm,Continuous,Neutral,Bodybuilding
Battle Rope Power Slam to Burpee,Intermediate,Chest,Battle Ropes,Double Arm,Continuous,Neutral,Plyometric
Resistance Band Low Row,Beginner,Back,Resistance Band,Double Arm,Continuous,Neutral,Bodybuilding
Battle Rope Alternating Reverse Lunge Alternating Wave ,Intermediate,Quadriceps,Battle Ropes,Double Arm,Alternating,Neutral,Unsorted*
Bodyweight Split Squat Isometric Hold,Novice,Quadriceps,Bodyweight,No Arms,Continuous,No Grip,Balance
Bodyweight Split Squat,Beginner,Quadriceps,Bodyweight,No Arms,Continuous,No Grip,Unsorted*
Barbell Frog Pump,Novice,Glutes,Barbell,Double Arm,Continuous,Pronated,Bodybuilding
Barbell Front Rack Calf Raise,Novice,Calves,Barbell,Double Arm,Continuous,Pronated,Bodybuilding
Barbell Back Rack Calf Raise,Novice,Calves,Barbell,Double Arm,Continuous,Pronated,Bodybuilding
Trap Bar Calf Raise,Novice,Calves,Trap Bar,Double Arm,Continuous,Neutral,Bodybuilding
Barbell Zercher Cyclist Squat,Advanced,Quadriceps,Barbell,Double Arm,Continuous,No Grip,Bodybuilding
Trap Bar Rack Pull,Novice,Back,Trap Bar,Double Arm,Continuous,Neutral,Bodybuilding
Resistance Band Mid Row,Beginner,Back,Resistance Band,Double Arm,Continuous,Pronated,Bodybuilding
Resistance Band Face Pull,Beginner,Shoulders,Resistance Band,Double Arm,Continuous,Pronated,Bodybuilding
Resistance Band Face Pull to Overhead Press,Beginner,Shoulders,Resistance Band,Double Arm,Continuous,Pronated,Bodybuilding
Single Arm Resistance Band Low Row,Beginner,Back,Resistance Band,Single Arm,Continuous,Neutral,Bodybuilding
Single Arm Resistance Band Mid Row,Beginner,Back,Resistance Band,Single Arm,Continuous,Pronated,Bodybuilding
Single Arm Resistance Band Chest Press,Beginner,Chest,Resistance Band,Single Arm,Continuous,Pronated,Bodybuilding
Resistance Band Reverse Grip Bicep Curl,Beginner,Forearms,Resistance Band,Double Arm,Continuous,Pronated,Bodybuilding
Resistance Band Alternating Reverse Grip Bicep Curl,Beginner,Forearms,Resistance Band,Double Arm,Alternating,Pronated,Bodybuilding
